year,region_name,region_code,indicator_name,value,notes,extracted_at,data_quality_flag,sector
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,5635.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,157313.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,5635.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,36759.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,20896.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,961.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,5935.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,2182.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,37821.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,110189.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,7582.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,36253.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,39438.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,157313.0000,,2025-12-17 00:23:24.914622,V,Unknown
2012,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,5600.0000,,2025-12-17 11:57:39.747867,V,Unknown
2012,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,159871.0000,,2025-12-17 00:23:24.914622,V,Unknown
2012,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,111.0000,,2025-12-17 11:57:39.747867,V,Unknown
2012,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,48168.0000,,2025-12-17 11:57:39.747867,V,Unknown
2012,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,40678.0000,,2025-12-17 11:57:39.747867,V,Unknown
2012,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,37836.0000,,2025-12-17 11:57:39.747867,V,Unknown
2012,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,7490.0000,,2025-12-17 11:57:39.747867,V,Unknown
2012,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,111590.0000,,2025-12-17 11:57:39.747867,V,Unknown
2012,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,37239.0000,,2025-12-17 11:57:39.747867,V,Unknown
