region_code,region_name,year,indicator_name,value,notes,gender,nationality
05914,Hagen,2011,Deutsche Bevölkerung,6061.0,,total,total
05914,Hagen,2011,Deutsche Bevölkerung,61554.0,,total,total
05914,Hagen,2012,Deutsche Bevölkerung,62470.0,,total,total
05914,Hagen,2013,Deutsche Bevölkerung,5375.0,,total,total
05914,Hagen,2013,Deutsche Bevölkerung,10188.0,,total,total
05914,Hagen,2013,Deutsche Bevölkerung,37198.0,,total,total
05914,Hagen,2013,Deutsche Bevölkerung,62751.0,,total,total
05914,Hagen,2014,Deutsche Bevölkerung,5574.0,,total,total
05914,Hagen,2014,Deutsche Bevölkerung,10423.0,,total,total
05914,Hagen,2014,Deutsche Bevölkerung,38075.0,,total,total
05914,Hagen,2014,Deutsche Bevölkerung,63247.0,,total,total
05914,Hagen,2015,Deutsche Bevölkerung,5929.0,,total,total
05914,Hagen,2015,Deutsche Bevölkerung,11330.0,,total,total
05914,Hagen,2015,Deutsche Bevölkerung,38946.0,,total,total
05914,Hagen,2015,Deutsche Bevölkerung,64439.0,,total,total
05914,Hagen,2016,Deutsche Bevölkerung,6289.0,,total,total
05914,Hagen,2016,Deutsche Bevölkerung,11759.0,,total,total
05914,Hagen,2016,Deutsche Bevölkerung,39908.0,,total,total
05914,Hagen,2016,Deutsche Bevölkerung,65902.0,,total,total
05914,Hagen,2017,Deutsche Bevölkerung,6618.0,,total,total
05914,Hagen,2017,Deutsche Bevölkerung,67263.0,,total,total
05914,Hagen,2017,Deutsche Bevölkerung,40614.0,,total,total
05914,Hagen,2017,Deutsche Bevölkerung,12204.0,,total,total
05914,Hagen,2018,Deutsche Bevölkerung,68651.0,,total,total
05914,Hagen,2018,Deutsche Bevölkerung,12843.0,,total,total
05914,Hagen,2018,Deutsche Bevölkerung,41179.0,,total,total
05914,Hagen,2018,Deutsche Bevölkerung,6895.0,,total,total
05914,Hagen,2019,Deutsche Bevölkerung,7263.0,,total,total
05914,Hagen,2019,Deutsche Bevölkerung,13235.0,,total,total
05914,Hagen,2019,Deutsche Bevölkerung,41412.0,,total,total
05914,Hagen,2019,Deutsche Bevölkerung,69695.0,,total,total
05914,Hagen,2020,Deutsche Bevölkerung,7457.0,,total,total
05914,Hagen,2020,Deutsche Bevölkerung,13177.0,,total,total
05914,Hagen,2020,Deutsche Bevölkerung,40800.0,,total,total
05914,Hagen,2020,Deutsche Bevölkerung,68936.0,,total,total
05914,Hagen,2021,Deutsche Bevölkerung,41253.0,,total,total
05914,Hagen,2021,Deutsche Bevölkerung,13892.0,,total,total
05914,Hagen,2021,Deutsche Bevölkerung,7803.0,,total,total
05914,Hagen,2021,Deutsche Bevölkerung,70230.0,,total,total
05914,Hagen,2022,Deutsche Bevölkerung,71208.0,,total,total
05914,Hagen,2022,Deutsche Bevölkerung,14393.0,,total,total
05914,Hagen,2022,Deutsche Bevölkerung,41660.0,,total,total
05914,Hagen,2022,Deutsche Bevölkerung,8095.0,,total,total
05914,Hagen,2023,Deutsche Bevölkerung,8430.0,,total,total
05914,Hagen,2023,Deutsche Bevölkerung,14564.0,,total,total
05914,Hagen,2023,Deutsche Bevölkerung,41636.0,,total,total
05914,Hagen,2023,Deutsche Bevölkerung,71734.0,,total,total
05914,Hagen,2024,Deutsche Bevölkerung,8769.0,,total,total
05914,Hagen,2024,Deutsche Bevölkerung,41419.0,,total,total
05914,Hagen,2024,Deutsche Bevölkerung,71789.0,,total,total
05914,Hagen,2024,Deutsche Bevölkerung,14634.0,,total,total
